command,mitre_id
powershell -ExecutionPolicy Restricted -File C:\Scripts\maintenance_39.ps1,Benign
terraform apply -auto-approve,Benign
terraform plan -out=tfplan,Benign
terraform destroy -auto-approve,Benign
Get-Service | Where-Object {$_.Status -eq 'Running'},Benign
tar -czf /tmp/backup.tar.gz /var/log > /dev/null 2>&1 # task_424,Benign
git commit -m 'Fixed weight loading issue in engine.py - issue #5104',Benign
"grep -r ""ERROR"" /var/log/ > /dev/null 2>&1 # task_671",Benign
powershell -ExecutionPolicy Restricted -File C:\Scripts\maintenance_47.ps1,Benign
terraform plan -out=tfplan,Benign
kubectl get pods -n production -o wide,Benign
powershell -ExecutionPolicy Restricted -File C:\Scripts\maintenance_4.ps1,Benign
git commit -m 'Fixed weight loading issue in engine.py - issue #9486',Benign
"grep -r ""ERROR"" /var/log/ > /dev/null 2>&1 # task_500",Benign
terraform init -upgrade,Benign
cat /var/log/syslog | grep 'systemd' | tail -n 28,Benign
terraform init -upgrade,Benign
tar -czf /tmp/backup.tar.gz /var/log > /dev/null 2>&1 # task_453,Benign
powershell -ExecutionPolicy Restricted -File C:\Scripts\maintenance_56.ps1,Benign
powershell -ExecutionPolicy Restricted -File C:\Scripts\maintenance_96.ps1,Benign
terraform plan -out=tfplan,Benign
git commit -m 'Fixed weight loading issue in engine.py - issue #3467',Benign
Get-Content | Sort-Object -Descending,Benign
powershell -ExecutionPolicy AllSigned -File C:\Scripts\maintenance_15.ps1,Benign
terraform plan -out=tfplan,Benign
powershell -ExecutionPolicy AllSigned -File C:\Scripts\maintenance_60.ps1,Benign
powershell -ExecutionPolicy AllSigned -File C:\Scripts\maintenance_51.ps1,Benign
kubectl get nodes -n kube-system --watch,Benign
powershell -ExecutionPolicy Restricted -File C:\Scripts\maintenance_41.ps1,Benign
terraform init -upgrade,Benign
systemctl status nginx > /dev/null 2>&1 # task_482,Benign
terraform destroy -auto-approve,Benign
cat /var/log/syslog | grep 'systemd' | tail -n 29,Benign
kubectl get pods -n production -o wide,Benign
kubectl get services -n production -o wide,Benign
"Get-EventLog -LogName System | Select-Object Name, Id",Benign
cat /var/log/syslog | grep 'systemd' | tail -n 75,Benign
git commit -m 'Fixed weight loading issue in engine.py - issue #9438',Benign
powershell -ExecutionPolicy AllSigned -File C:\Scripts\maintenance_99.ps1,Benign
git commit -m 'Fixed weight loading issue in engine.py - issue #5498',Benign
cat /var/log/syslog | grep 'systemd' | tail -n 71,Benign
git commit -m 'Fixed weight loading issue in engine.py - issue #4316',Benign
terraform plan -out=tfplan,Benign
Get-ADUser | Sort-Object -Descending,Benign
kubectl get configmaps -n staging -o wide,Benign
terraform destroy -auto-approve,Benign
kubectl get services -n kube-system -o wide,Benign
terraform apply -auto-approve,Benign
git commit -m 'Fixed weight loading issue in engine.py - issue #4704',Benign
kubectl get deployments -n staging -o wide,Benign
powershell -ep Restricted -File C:\Scripts\maintenance_61.ps1,Benign
tar -czf /tmp/backup.tar.gz /var/log > /dev/null 2>&1 # task_869,Benign
kubectl get nodes -n kube-system -o wide,Benign
