MITRE_ID,Total_Samples,Correct,Recall_Rate
T1129,20,0,0.0
T1087,20,4,20.0
T1220,20,7,35.0
T1003,20,8,40.0
T1082,20,8,40.0
T1016,20,10,50.0
T1552,20,10,50.0
T1059,20,11,55.0
T1070,20,12,60.0
T1548,20,12,60.0
T1564,20,13,65.0
T1127,20,13,65.0
T1614,20,13,65.0
T1018,20,14,70.0
T1204,20,14,70.0
T1218,20,14,70.0
T1546,20,14,70.0
T1562,20,15,75.0
T1105,20,15,75.0
T1055,20,15,75.0
T1053,20,15,75.0
T1078,20,15,75.0
T1222,20,16,80.0
T1098,20,16,80.0
T1071,20,16,80.0
T1123,20,16,80.0
T1046,20,16,80.0
T1048,20,16,80.0
T1547,20,16,80.0
T1090,20,17,85.0
T1027,20,17,85.0
T1560,20,17,85.0
T1566,20,17,85.0
T1037,20,17,85.0
T1555,20,18,90.0
T1572,20,18,90.0
T1106,20,18,90.0
T1112,20,18,90.0
T1135,20,18,90.0
T1197,20,18,90.0
T1069,20,18,90.0
T1083,20,18,90.0
T1114,20,18,90.0
T1124,20,19,95.0
T1567,20,19,95.0
T1553,20,19,95.0
T1529,20,19,95.0
T1569,20,19,95.0
T1187,20,19,95.0
T1490,20,19,95.0
T1558,20,19,95.0
T1110,20,19,95.0
T1014,20,19,95.0
T1039,20,19,95.0
T1136,20,19,95.0
T1531,20,19,95.0
T1485,20,19,95.0
T1134,20,19,95.0
T1505,20,19,95.0
T1057,20,20,100.0
T1040,20,20,100.0
T1036,20,20,100.0
T1041,20,20,100.0
T1056,20,20,100.0
T1140,20,20,100.0
T1137,20,20,100.0
T1132,20,20,100.0
T1133,20,20,100.0
T1120,20,20,100.0
T1119,20,20,100.0
T1115,20,20,100.0
T1125,20,20,100.0
T1072,20,20,100.0
T1095,20,20,100.0
T1091,20,20,100.0
T1074,20,20,100.0
T1113,20,20,100.0
T1049,20,20,100.0
T1005,20,20,100.0
T1006,20,20,100.0
T1033,20,20,100.0
T1030,20,20,100.0
T1025,20,20,100.0
T1021,20,20,100.0
T1020,20,20,100.0
T1007,20,20,100.0
T1010,20,20,100.0
T1012,20,20,100.0
T1001,20,20,100.0
T1221,20,20,100.0
T1482,20,20,100.0
T1201,20,20,100.0
T1207,20,20,100.0
T1202,20,20,100.0
T1195,20,20,100.0
T1176,20,20,100.0
T1539,20,20,100.0
T1530,20,20,100.0
T1526,20,20,100.0
T1528,20,20,100.0
T1518,20,20,100.0
T1491,20,20,100.0
T1496,20,20,100.0
T1497,20,20,100.0
T1484,20,20,100.0
T1486,20,20,100.0
T1489,20,20,100.0
T1216,20,20,100.0
T1219,20,20,100.0
T1217,20,20,100.0
T1543,20,20,100.0
T1550,20,20,100.0
T1563,20,20,100.0
T1559,20,20,100.0
T1556,20,20,100.0
T1557,20,20,100.0
T1542,20,20,100.0
T1570,20,20,100.0
T1571,20,20,100.0
T1573,20,20,100.0
T1574,20,20,100.0
T1578,20,20,100.0
T1580,20,20,100.0
T1592,20,20,100.0
T1595,20,20,100.0
T1606,20,20,100.0
T1609,20,20,100.0
T1047,20,20,100.0
T1610,20,20,100.0
T1611,20,20,100.0
T1612,20,20,100.0
T1613,20,20,100.0
T1615,20,20,100.0
T1619,20,20,100.0
T1620,20,20,100.0
T1622,20,20,100.0
T1648,20,20,100.0
T1649,20,20,100.0
T1651,20,20,100.0
T1652,20,20,100.0
T1654,20,20,100.0
