command,pred_label,malicious_prob,benign_prob,is_false_positive
ls -la /home/user/documents,0,0.04441048577427864,0.9171362519264221,0
cd /var/log,0,0.2634449899196625,0.6954595446586609,0
pwd,1,0.5822778344154358,0.2924608290195465,1
mkdir -p /home/user/projects/new_app,0,0.052867986261844635,0.8991174697875977,0
cp config.yaml config.yaml.bak,0,0.0415559820830822,0.924068808555603,0
mv report.pdf ~/Documents/,0,0.02970230020582676,0.9414680004119873,0
rm old_logfile.log,0,0.05003233999013901,0.9243616461753845,0
touch notes.txt,0,0.36972126364707947,0.5480910539627075,0
find . -name '*.py' -type f,0,0.01696019433438778,0.9579011797904968,0
tree -L 2,0,0.019918033853173256,0.8675662875175476,0
cat /etc/hostname,1,0.021012304350733757,0.012617350555956364,1
head -n 20 access.log,0,0.009099463932216167,0.010698567144572735,0
tail -f /var/log/syslog,0,0.04340796545147896,0.26882684230804443,0
less README.md,0,0.04215197637677193,0.9122839570045471,0
nano server.conf,0,0.08899012207984924,0.880270779132843,0
vim ~/.bashrc,0,0.3788021206855774,0.5580019354820251,0
wc -l main.py,0,0.04242846369743347,0.5431891083717346,0
diff file1.txt file2.txt,0,0.02437794953584671,0.947994589805603,0
uniq,0,0.1543649137020111,0.7432496547698975,0
grep -r 'TODO' src/,0,0.014169367961585522,0.9560243487358093,0
apt list --installed,0,0.015556883066892624,0.9581092596054077,0
pip install flask,0,0.027434518560767174,0.9542460441589355,0
pip freeze > requirements.txt,0,0.03693309426307678,0.9435300827026367,0
npm install express,0,0.029085269197821617,0.9536850452423096,0
npm run build,0,0.02492705173790455,0.9557904005050659,0
yarn add react,0,0.02354450710117817,0.9559267163276672,0
pip install --upgrade pip,0,0.018014702945947647,0.9646857380867004,0
apt-get update,0,0.05039697885513306,0.9037560224533081,0
conda activate myenv,0,0.024485984817147255,0.9528452754020691,0
brew install wget,0,0.07311590015888214,0.8902393579483032,0
git status,0,0.024606598541140556,0.946672260761261,0
git log --oneline -10,0,0.017966829240322113,0.9613581895828247,0
git diff HEAD~1,0,0.021357476711273193,0.9566867351531982,0
git add .,0,0.028299976140260696,0.9506011009216309,0
git commit -m 'fix: update readme',0,0.02792610414326191,0.9491972923278809,0
git pull origin main,0,0.02154446206986904,0.9569076895713806,0
git push origin feature-branch,0,0.019200876355171204,0.9599403738975525,0
git branch -a,0,0.015795305371284485,0.9648895859718323,0
git checkout -b new-feature,0,0.019250569865107536,0.9630234241485596,0
git stash pop,0,0.022596701979637146,0.9536863565444946,0
head -20,0,0.008083146065473557,0.011731716804206371,0
df -h,0,0.051978327333927155,0.9048088788986206,0
du -sh /var/log,0,0.04885871335864067,0.49203041195869446,0
free -m,0,0.2668403089046478,0.6823009848594666,0
uptime,0,0.4366273283958435,0.4710451662540436,0
whoami,0,0.029845448210835457,0.898342490196228,0
hostname,1,0.2722180485725403,0.09504550695419312,1
uname -a,0,0.01958204060792923,0.9533715844154358,0
grep python,0,0.019686469808220863,0.8647413849830627,0
lsblk,0,0.01348597090691328,0.060919295996427536,0
ping -c 4 google.com,0,0.01668551005423069,0.9455663561820984,0
curl -I https://example.com,0,0.2276085913181305,0.6368662714958191,0
wget https://example.com/file.tar.gz,0,0.035592492669820786,0.9317348003387451,0
ifconfig,1,0.04414903372526169,0.016352256760001183,1
ip addr show,0,0.011468938551843166,0.014991984702646732,0
netstat -tlnp,0,0.008086096495389938,0.00884194951504469,0
ss -tuln,0,0.012099316343665123,0.06976436078548431,0
dig example.com,0,0.014489416033029556,0.01879473775625229,0
nslookup google.com,0,0.022391295060515404,0.15084733068943024,0
traceroute 8.8.8.8,0,0.009313936345279217,0.018522601574659348,0
docker ps,0,0.06691227108240128,0.4347485303878784,0
docker images,0,0.10070683807134628,0.1014304906129837,0
docker-compose up -d,0,0.022959213703870773,0.9518517851829529,0
docker logs my-container,0,0.028662189841270447,0.9368851184844971,0
docker build -t myapp:latest .,0,0.02487974613904953,0.9313197135925293,0
docker stop web-server,0,0.035444971174001694,0.9394880533218384,0
docker exec -it db bash,0,0.12982600927352905,0.763858437538147,0
docker volume ls,0,0.015390177257359028,0.06152459606528282,0
docker network ls,0,0.008893618360161781,0.01324018370360136,0
docker pull nginx:latest,0,0.019491979852318764,0.9391595721244812,0
python3 manage.py runserver,0,0.04972172901034355,0.9245928525924683,0
python3 -m pytest tests/,0,0.02603750303387642,0.8122262954711914,0
python3 setup.py install,0,0.046224068850278854,0.9317492842674255,0
"python3 -c 'print(""hello world"")'",0,0.03392278403043747,0.160355806350708,0
flask run --host=0.0.0.0,0,0.06343435496091843,0.8860470652580261,0
gunicorn app:app --bind 0.0.0.0:8000,0,0.03806532174348831,0.9367115497589111,0
node server.js,0,0.15853993594646454,0.8027394413948059,0
gcc -o main main.c,0,0.0262314360588789,0.9380216002464294,0
make clean && make,0,0.0701964795589447,0.9039709568023682,0
java -jar application.jar,0,0.0637207105755806,0.9096449017524719,0
chmod 644 index.html,0,0.06690625846385956,0.9034468531608582,0
chown www-data:www-data /var/www,0,0.029236434027552605,0.939253568649292,0
id,1,0.38626646995544434,0.18525874614715576,1
groups,1,0.09266354143619537,0.036216605454683304,1
passwd,1,0.8355470299720764,0.07931611686944962,1
crontab -l,0,0.009474975056946278,0.02063506841659546,0
systemctl status nginx,0,0.023922426626086235,0.9162440299987793,0
journalctl -u ssh --since today,0,0.02186368964612484,0.934623658657074,0
tar -czf backup.tar.gz /home/user/data,0,0.07048819959163666,0.8483134508132935,0
unzip archive.zip -d /tmp/output,0,0.14862407743930817,0.7972888350486755,0
rsync -avz src/ dest/,0,0.015184742398560047,0.9566550850868225,0
scp file.txt user@remote:/home/user/,0,0.08956702798604965,0.8517946004867554,0
ssh user@192.168.1.10,0,0.010455644689500332,0.012781607918441296,0
date,0,0.36981287598609924,0.4284895658493042,0
cal,1,0.4993607699871063,0.35261228680610657,1
