command,label
driverquery,0
compact /c /s:C:\Temp,0
head -n 13 /home/bob/Documents/requirements.txt,0
git diff HEAD~1,0
ipconfig /renew,0
ipconfig /release,0
echo %USERNAME%,0
touch /var/log/README.md,0
ls /var/www/html,0
cat /usr/local/bin/report.txt,0
powershell Stop-Process -Name regedit -Force,0
apt-get upgrade -y,0
nslookup github.com,0
mkdir -p /tmp/backup,0
hostname,0
echo %PATH%,0
pip install numpy,0
df -hT,0
netstat -ano,0
docker rmi nginx:3.11,0
wmic service where name='lanmanserver' get state,0
nmap -sn 10.0.0.0/24,0
eventvwr,0
sc start wuauserv,0
tail -f /var/log/kern.log,0
wmic service where name='eventlog' get state,0
"find /home/ubuntu/Documents -name ""*.log"" -mtime +7",0
nslookup kernel.org,0
npm install,0
powershell Compress-Archive -Path D:\Projects\app -DestinationPath C:\Temp\archive.zip,0
mv /etc/requirements.txt /tmp/,0
diskpart,0
chown charlie:devops /opt/app/README.md,0
cat /tmp/notes.md,0
ipconfig /renew,0
systemctl stop docker,0
ip route show,0
taskkill /pid 4456 /f,0
systemctl stop postgresql,0
useradd -m svc_app,0
docker rm 3340,0
df -hT,0
powershell Get-Service spooler,0
df -h,0
git push origin feature/fix,0
pip3 list,0
cat /home/devops/Downloads/config.yaml,0
net use Z: \\server01\share /persistent:yes,0
powershell Get-EventLog -LogName System -Newest 50,0
powershell Stop-Process -Name regedit -Force,0
taskkill /f /im regedit.exe,0
uptime,0
docker-compose up -d,0
tar -xzf /tmp/backup.tar.gz -C /tmp/,0
mkdir C:\Users\svc_backup\Desktop\logs,0
driverquery,0
nmap -sn 10.0.0.0/24,0
powershell Restart-Service dnscache,0
dir C:\Temp /b /s,0
logrotate /etc/logrotate.conf,0
"wmic cpu get name,numberofcores",0
ssh -p 22 charlie@172.16.0.1 'uptime',0
powershell Copy-Item C:\Windows\SysWOW64\image.png -Destination C:\Backup\,0
journalctl -u redis -n 100,0
attrib +r C:\Users\admin\Desktop\setup.exe,0
diff /home/root/requirements.txt /tmp/config.yaml,0
hostname,0
history | tail -20,0
sc start eventlog,0
winget list,0
winget search winscp,0
powershell Expand-Archive -Path C:\Temp\archive.zip -DestinationPath C:\Extracted\,0
df -hT,0
git diff HEAD~1,0
rm -f /tmp/README.md,0
ls -la /etc,0
uname -r,0
git fetch --all,0
ssh-keygen -t rsa -b 4096 -f /home/devops/.ssh/id_rsa,0
reg export HKCU\Software\Microsoft\Notepad C:\Temp\notepad_settings.reg,0
ln -s /var/log/backup.tar.gz /tmp/link,0
xcopy C:\Users\dave\AppData\Local C:\Backup\ /e /i /y,0
cat /home/bob/report.txt,0
"grep -r ""error"" /var/log/",0
sc query wuauserv,0
nohup ./worker.sh &,0
sc stop lanmanserver,0
wc -l /etc/notes.md,0
choco upgrade all -y,0
crontab -l,0
chmod 755 /usr/local/bin/script.sh,0
shutdown /a,0
echo %COMPUTERNAME%,0
echo %PATH%,0
git pull origin master,0
git diff HEAD~1,0
timedatectl status,0
docker-compose up -d,0
net share Documents=C:\Users\alice\Desktop,0
env,0
apt-get update,0
"wmic memorychip get capacity,speed",0
tar -czf /tmp/backup.tar.gz /var/log,0
docker ps -a,0
powershell Get-Service dnscache,0
fc C:\Temp\config.ini C:\Temp\budget.xlsx,0
git merge hotfix,0
ver,0
net use * /delete,0
type C:\Users\dave\Desktop\notes.txt,0
locale,0
history | tail -20,0
screen -S main,0
cat /proc/meminfo,0
pathping 10.0.0.254,0
hostname,0
dir C:\ProgramData\logs /b /s,0
docker run -d -p 5336:6465 node,0
powershell Test-Connection 10.0.0.254 -Count 4,0
ssh root@192.168.1.1,0
"tasklist /fi ""imagename eq taskmgr.exe""",0
route print,0
net use * /delete,0
at now + 33 minutes,0
powershell Restart-Service wuauserv,0
clamav --scan /home/bob/,0
more C:\Users\bob\Desktop\config.ini,0
env,0
reg export HKCU\Software\Microsoft\Notepad C:\Temp\notepad_settings.reg,0
ln -s /srv/data/requirements.txt /tmp/link,0
start regedit.exe,0
systemctl stop ssh,0
pwd,0
systemctl start postgresql,0
df -hT,0
dmesg | tail -n 50,0
choco upgrade all -y,0
ps aux,0
docker rm 6180,0
net start wuauserv,0
docker rm 2638,0
net start lanmanserver,0
rm -rf /tmp/trash,0
choco upgrade all -y,0
apt-cache search nmap,0
sc start spooler,0
npm audit fix,0
wget -q https://example.com -O /tmp/index.html,0
git fetch --all,0
ps aux | grep nginx,0
ps aux,0
"wmic os get caption,version,buildnumber",0
choco list --local-only,0
df -hT,0
reg query HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion,0
"wmic cpu get name,numberofcores",0
powershell Test-Connection 172.16.5.10 -Count 4,0
curl -s https://example.com,0
mv /tmp/data.csv /tmp/,0
visudo,0
export PATH=$PATH:/usr/local/bin,0
tar -xzf /tmp/backup.tar.gz -C /tmp/,0
net view \\server1,0
git diff HEAD~1,0
traceroute 192.168.1.1,0
dir D:\Projects\app /b /s,0
df -h,0
powershell Copy-Item C:\Users\jsmith\Downloads\backup.zip -Destination C:\Backup\,0
del /f /q C:\Users\bob\Desktop\notes.txt,0
ping 172.16.5.10 -n 10,0
powershell Get-ComputerInfo,0
git pull origin main,0
nslookup github.com,0
npm install,0
tracert 172.16.5.10,0
mv /var/log/backup.tar.gz /tmp/,0
locale,0
powershell Test-Connection 10.0.0.254 -Count 4,0
powershell Compress-Archive -Path C:\Windows\System32 -DestinationPath C:\Temp\archive.zip,0
compact /c /s:C:\Windows\System32,0
timedatectl status,0
tar -czf /tmp/backup.tar.gz /etc,0
"wmic memorychip get capacity,speed",0
uptime,0
ping 8.8.8.8 -t,0
less /var/log/backup.tar.gz,0
htop,0
tail -f /var/log/auth.log,0
compact /c /s:C:\Program Files\Office,0
nice -n 3 python3 script.py,0
sc start eventlog,0
nslookup ubuntu.com,0
clamav --scan /home/ubuntu/,0
nohup ./worker.sh &,0
ipconfig /all,0
reg query HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion,0
du -sh /home/svc_deploy/Downloads,0
ping 192.168.1.1 -t,0
git stash,0
apt-get remove nodejs,0
systemctl start docker,0
clamscan -r /tmp/,0
reg query HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion,0
vmstat 1 5,0
shutdown /a,0
unzip /tmp/archive.zip -d /tmp/extracted/,0
netstat -ano,0
git stash pop,0
dir C:\Windows\SysWOW64,0
npm install,0
git pull origin main,0
nohup ./worker.sh &,0
systemctl start apache2,0
ps aux,0
logrotate /etc/logrotate.conf,0
killall docker,0
service docker status,0
ssh charlie@10.0.0.1,0
git log --oneline -10,0
hostname,0
vssadmin list shadows,0
ps aux | grep docker,0
dir C:\Temp,0
mv /opt/app/Makefile /tmp/,0
git merge feature/api,0
rm -rf /tmp/build,0
defrag C: /u /v,0
hostname,0
wget -q https://ubuntu.com -O /tmp/index.html,0
echo %USERNAME%,0
"find /tmp -type f -name ""*.tmp"" -delete",0
killall postgresql,0
ls /home/alice/Downloads,0
netstat -an | findstr ESTABLISHED,0
chown devops:bob /usr/local/bin/requirements.txt,0
gpupdate /force,0
free -h,0
sudo systemctl daemon-reload,0
cat /proc/cpuinfo | head -30,0
chmod 755 /home/alice/Downloads/script.sh,0
"wmic cpu get name,numberofcores",0
git add notes.md,0
sfc /scannow,0
docker exec -it 1822 /bin/bash,0
tar -czf /tmp/backup.tar.gz /home/devops/Documents,0
choco list --local-only,0
docker exec -it 9702 /bin/bash,0
systemctl restart redis,0
visudo,0
"git commit -m ""Update README.md""",0
docker ps,0
powershell Stop-Process -Name mmc -Force,0
docker images,0
scp /var/log/README.md user@8.8.8.8:/tmp/,0
diff /etc/config.yaml /tmp/data.csv,0
"find /tmp -type f -name ""*.tmp"" -delete",0
ifconfig,0
bg %1,0
systemctl enable apache2,0
powershell Get-Process,0
powershell Get-NetIPAddress,0
"grep -i ""failed"" /var/log/auth.log",0
free -h,0
powershell Get-EventLog -LogName System -Newest 50,0
rm -rf /tmp/cache,0
w,0
locale,0
nohup ./worker.sh &,0
docker build -t myapp:1.0 .,0
"tasklist /fi ""imagename eq wordpad.exe""",0
git log --oneline -10,0
lsblk,0
xcopy C:\Users\jsmith\AppData\Local C:\Backup\ /e /i /y,0
at now + 1 minutes,0
dpkg -i /tmp/htop.deb,0
lsblk,0
git status,0
cat /usr/local/bin/data.csv,0
git stash pop,0
history | tail -20,0
ipconfig /all,0
lsblk,0
fg %1,0
printenv PATH,0
powershell Expand-Archive -Path C:\Temp\archive.zip -DestinationPath C:\Extracted\,0
docker-compose up -d,0
winget search 7zip,0
lspci,0
expand C:\Windows\Temp\budget.xlsx -F:* C:\Extracted\,0
git push origin master,0
docker logs -f 3977,0
net use * /delete,0
du -sh /opt/app,0
rm -f /tmp/Makefile,0
service cron status,0
hostname,0
nslookup kernel.org,0
